checkpoint,steps,mean_reward,std_reward
sac_models_optimizers_position_25500.pth,25500,-54.16417564731783,76.3853360527365
sac_models_optimizers_position_26000.pth,26000,-25.406957535860577,31.38941016627559
sac_models_optimizers_position_26500.pth,26500,-44.282609602976194,61.61859761947673
sac_models_optimizers_position_27000.pth,27000,-16.064790173087154,26.792855414761167
sac_models_optimizers_position_27500.pth,27500,-7.256521231766333,3.884533166629186
sac_models_optimizers_position_28000.pth,28000,-6.422860106296909,2.146565794927737
sac_models_optimizers_position_28500.pth,28500,-10.898667446756304,7.806100010965434
sac_models_optimizers_position_29000.pth,29000,-7.937472429132121,3.1310879174191877
sac_models_optimizers_position_29500.pth,29500,-9.230448944351423,8.232928146786163
sac_models_optimizers_position_30000.pth,30000,-51.51446701632656,40.49239545874986
sac_models_optimizers_position_30500.pth,30500,-58.274622409593555,70.94783017698043
sac_models_optimizers_position_31000.pth,31000,-73.10830867812373,90.58220780477653
sac_models_optimizers_position_31500.pth,31500,-11.983484917593369,10.429931023752752
sac_models_optimizers_position_32000.pth,32000,-13.459846193721974,26.63424463020518
sac_models_optimizers_position_32500.pth,32500,-9.823309645781988,5.294570504120475
sac_models_optimizers_position_33000.pth,33000,-8.176603507076404,4.674332202466329
sac_models_optimizers_position_33500.pth,33500,-17.694312457356972,18.5982904109225
sac_models_optimizers_position_34000.pth,34000,-31.443155345010226,41.12990075613388
sac_models_optimizers_position_34500.pth,34500,-134.26802628917926,153.76763767920139
sac_models_optimizers_position_35000.pth,35000,-19.640989244306173,27.865215544674033
sac_models_optimizers_position_35500.pth,35500,-19.90434589882469,21.505459824793153
sac_models_optimizers_position_36000.pth,36000,-44.49233674187716,58.052226319619486
sac_models_optimizers_position_36500.pth,36500,-26.725592309628617,33.93620921968284
sac_models_optimizers_position_37000.pth,37000,-20.29338510484462,25.824534770820204
sac_models_optimizers_position_37500.pth,37500,-81.7440578684177,101.8723100656272
sac_models_optimizers_position_38000.pth,38000,-12.720255432098051,22.432045559188165
sac_models_optimizers_position_38500.pth,38500,-65.32106352491965,87.74685950893591
sac_models_optimizers_position_39000.pth,39000,-60.887644153447724,74.07617424066471
sac_models_optimizers_position_39500.pth,39500,-14.93612342146995,18.845353565015845
sac_models_optimizers_position_40000.pth,40000,-28.76666610738258,35.40682183724813
sac_models_optimizers_position_40500.pth,40500,-62.17422345326153,73.03568654915391
sac_models_optimizers_position_41000.pth,41000,-48.29370604685732,51.51965000522955
sac_models_optimizers_position_41500.pth,41500,-57.69503213785204,77.97241532984759
sac_models_optimizers_position_42000.pth,42000,-11.64541490754508,12.027106924092577
sac_models_optimizers_position_42500.pth,42500,-15.466690798546269,14.085635036355422
sac_models_optimizers_position_43000.pth,43000,-10.702908040639299,8.060675254120081
sac_models_optimizers_position_43500.pth,43500,-71.12756797021858,94.07588124080122
sac_models_optimizers_position_44000.pth,44000,-26.80749603329837,27.776940238650422
sac_models_optimizers_position_44500.pth,44500,-104.7457401380893,100.4364138661158
sac_models_optimizers_position_45000.pth,45000,-105.67951370640479,174.6036065209927
sac_models_optimizers_position_45500.pth,45500,-153.79304045151557,223.1645611462501
sac_models_optimizers_position_46000.pth,46000,-7.796389918797978,3.0184264175291107
